"id","name","createDate","category","lon","lat"
15855,"<U+0641><U+0631><U+0648><U+0634><U+06AF><U+0627><U+0647> <U+067E><U+0631><U+06A9><U+0646><U+06CC>",2018-10-22,"default",49.0525281429291,33.4916072555713
330,"K-Market Mansku",2015-04-10,"grocery",24.918532,60.1875733
331,"michal kindergarden",2013-12-16,"attraction",34.773014,32.0700275
332,"Didoo Cafe",2014-01-31,"default",34.787301,32.091112
334,"Asian Cafe",2014-03-26,"food",-95.7254529,39.0278373
335,"Clevelander Hotel",2014-01-28,"lodging",-80.1309841,25.7805541
339,"Penn Animal Hospital",2014-02-01,"default",-75.8819666,39.8231819
336,"Aurelius Interactive",2013-10-09,"default",20.6412159,52.1073717
337,"Bezpol",2014-02-04,"default",22.0338827,50.0380472
338,"Literárna kaviaren",2013-05-03,"cafe",18.739157,49.223973
324,"Eclectico",2013-11-09,"default",144.9803739,-37.8694322
300,"Blue House B&B",2014-04-12,"lodging",-21.9986506,64.1540263
17075,"Athena Bitcoin Cajero",2019-03-08,"atm",-72.4549734592438,7.82130360571118
341,"Venusia",2014-06-25,"default",6.1407722,46.1934179
345,"Arden Jewelers",2014-10-25,"shopping",-121.3983679,38.5956986
344,"Apartamentos Otorongo",2014-05-27,"lodging",-79.0139429,-2.8969103
349,"The Trunk Stylists",2014-12-10,"shopping",-82.6426345,27.7713544
366,"RE-UP BBQ",2014-04-25,"food",-122.9115154,49.200092
348,"CeX Leeds",2014-10-27,"default",-1.5443754,53.7995573
353,"The Broken Spoke",2014-09-26,"shopping",-122.7567278,48.1148885
351,"JSV International Assistant Service",2014-12-14,"default",14.3323303,50.0392863
364,"Papa G's",2013-11-06,"cafe",-122.6421431,45.5046824
354,"artx Designagentur Berlin",2013-12-18,"default",13.4231381,52.5313206
355,"Blueberry",2015-01-05,"cafe",18.0786645,59.3347281
356,"DRUŽBA BOULDERING WALL",2014-01-13,"nightlife",18.1822722,49.8370839
368,"Anonymous Tattoo",2014-12-12,"default",-81.0907363,32.0805836
358,"Mani Al Cielo",2014-12-23,"nightlife",11.0443447,45.8881405
359,"Malefitz",2014-10-30,"shopping",16.3333442,48.1807703
370,"Squirrel Café",2014-06-29,"cafe",144.998243,-37.794259
362,"Bellezza Studio",2015-04-01,"default",11.0364056,45.8907824
696,"Ventonegro - Mountain Guide",2013-09-26,"default",-68.8625203,-32.9337069
319,"<U+039A><U+03CC>µµa <U+03A0>e<U+03B9><U+03C1>at<U+03CE><U+03BD> <U+0395><U+03BB><U+03BB><U+03AC>da<U+03C2> - Pirate Party of Greece - <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03CC> G<U+03C1>afe<U+03AF><U+03BF>",2013-12-15,"default",23.7282673,37.9776512
363,"Mare Nero",2014-02-03,"food",8.1131385,49.8396681
375,"Bi Bim Bap Korean-Japanese Sushi Restaurant",2014-03-21,"food",-96.5728488,39.1860273
365,"Bar e Bicicletaria Las Magrelas",2013-02-28,"nightlife",-46.6922432,-23.5565056
343,"Underhill's Games",2014-01-25,"default",-81.5080686,41.1304234
367,"Kyrios Pousada",2013-03-04,"lodging",-45.5616388,-23.7860366
373,"Brooklyn South",2014-12-16,"food",-82.653952,27.7712825
369,"MusicON",2013-09-12,"default",21.15293,52.30844
371,"Apartment Eucalyptus",2013-11-29,"lodging",15.157466,36.9200158
372,"<U+0426><U+0438><U+0444><U+0435><U+0440><U+0431><U+043B><U+0430><U+0442>",2014-05-07,"cafe",30.5158687,50.447473
14377,"REPRESENTACIONES PLAST ",2018-07-04,"default",-72.244119644165,7.68507048449332
376,"SUBWAY Zelny trh",2015-03-13,"food",16.6096883,49.1927975
377,"London Hackspace",2013-04-14,"default",-0.0608219,51.5321142
378,"Il Giornale",2014-06-27,"default",9.1844258,45.4653323
360,"The South Melbourne Trader",2014-09-07,"food",144.956894,-37.83049
8976,"Lan Gamer",2016-12-14,"default",-43.9574253559113,-19.8612660684149
9067,"KAMRAN CHATTHA",2016-12-30,"default",72.9059600830078,31.8157299428383
381,"LUX",2015-01-23,"nightlife",9.7205471,52.3681975
382,"SUBWAY Rohlenka",2013-12-16,"food",16.7609876,49.1839015
383,"Ineo",2014-08-02,"default",20.3898505,44.7992416
384,"Hringbraut",2014-05-02,"default",-21.954324,64.146661
385,"Hávallagata",2014-05-02,"default",-21.9513614,64.1477119
387,"<U+05E4><U+05D9><U+05E7><U+05D5><U+05E7>",2014-05-15,"nightlife",34.7803113,32.0714337
388,"<U+05D3><U+05D5><U+05D3><U+05D9> <U+05D1><U+05DF> <U+05D9><U+05E9><U+05D9> - Dudi Ben Yishay",2014-07-06,"shopping",34.7802469,32.0714269
394,"Ricky P's",2014-11-24,"food",-82.650522,27.771341
391,"Hotel Viejo Telmo",2014-11-26,"lodging",-58.3798969,-34.6153111
392,"Hotel Argenta Tower",2014-12-01,"lodging",-58.3795149,-34.5930895
393,"Hotel Boutique Le Vitral Baires",2014-12-03,"lodging",-58.395126,-34.606136
398,"EVR NYC",2013-04-14,"nightlife",-73.984652,40.7524774
395,"Qrubit",2013-04-14,"default",-110.3026602,24.121471
396,"Edds Englisch",2013-04-28,"default",11.8698283,52.6114825
400,"Vegas Budget Dental",2013-04-15,"default",-115.2327178,36.1258841
405,"Overland Park Jeep Dodge Ram Chrysler",2013-04-17,"shopping",-94.6669718,38.9699111
401,"Carena Bar - Restaurant",2013-04-15,"food",20.6012471,38.3032742
403,"CESYT",2013-04-16,"attraction",-58.5198403,-34.4695284
407,"Urban Living Suites",2013-04-18,"lodging",-79.4074544,43.651902
406,"Total Roofing",2013-04-18,"default",-104.7132847,38.8558931
